Month,DP,EP,Mkt-RF,SMB,HML,STR,TB,TS,INF,IP,RV
196407,0.0350445742391638,0.061789117737473,1.74,0.5,0.75,1.82,3.46,0.7300000000000004,1.0752688172043,0.6572514178750044,-3.88062193709357
196408,0.0350445742391638,0.061789117737473,-1.44,0.41,0.08,-1.11,3.5,0.71,0.9756097560975618,0.6529598301332928,-4.3383973252188355
196409,0.0350445742391638,0.061789117737473,2.69,-0.34,1.7,1.25,3.53,0.6499999999999999,1.171875,0.3705516566244293,-4.292086264364366
196410,0.0350445742391638,0.061789117737473,0.59,0.87,1.17,1.11,3.57,0.5900000000000003,1.2032520325203189,-1.385039648605868,-4.2274199009753275
196411,0.0350445742391638,0.061789117737473,0.0,-0.15,-1.96,-0.68,3.64,0.56,1.3970110461338558,3.0900226362528205,-3.977058964112662
196412,0.0350445742391638,0.061789117737473,0.03,-0.69,-2.48,0.85,3.84,0.3700000000000001,1.1981865284974136,1.1806515034304743,-4.352327709787223
196501,0.0327011118378024,0.0595160235448005,3.54,2.44,0.12,2.95,3.81,0.3800000000000003,1.098901098901095,1.0770638158641654,-3.9206011776858416
196502,0.0327011118378024,0.0595160235448005,0.44,3.31,0.11,-0.51,3.93,0.2899999999999996,1.1970236169524415,0.6219776444785108,-4.4207019987243275
196503,0.0327011118378024,0.0595160235448005,-1.34,2.12,1.03,1.39,3.93,0.27,1.195862960568839,1.323914163879092,-4.361621849662287
196504,0.0327011118378024,0.0595160235448005,3.11,1.05,0.66,0.4,3.93,0.2799999999999998,1.3893376413570246,0.4354305708546668,-4.002538172346376
196505,0.0327011118378024,0.0595160235448005,-0.77,0.1,-1.61,0.21,3.89,0.3400000000000003,1.61394448030987,0.7806350885795066,-3.0915118624923137
196506,0.0327011118378024,0.0595160235448005,-5.51,-4.28,0.59,0.39,3.8,0.4000000000000003,1.9348597226700903,0.7745883798939923,-3.779049852503646
196507,0.0327011118378024,0.0595160235448005,1.43,1.08,2.2,2.58,3.84,0.3799999999999999,1.8052869116698789,0.939195284013672,-4.568851240641099
196508,0.0327011118378024,0.0595160235448005,2.73,2.71,-1.0,-1.4,3.84,0.4299999999999997,1.6103059581320522,0.4229061582562643,-4.057361861055555
196509,0.0327011118378024,0.0595160235448005,2.86,0.62,-0.13,-1.37,3.92,0.4299999999999997,1.737451737451745,0.2528631186451413,-4.2885260468872595
196510,0.0327011118378024,0.0595160235448005,2.6,3.47,1.56,-1.27,4.03,0.3799999999999999,1.7030848329048665,1.0085887883182432,-4.4318966595653055
196511,0.0327011118378024,0.0595160235448005,-0.03,5.19,0.15,-2.42,4.09,0.3900000000000005,1.7302146747837144,0.4158686053239879,-4.053590096243577
196512,0.0327011118378024,0.0595160235448005,1.01,2.66,2.03,2.82,4.38,0.2700000000000004,1.9200000000000104,1.242747047204662,-4.396461202237382
196601,0.0315838365071992,0.0602647468648397,0.72,4.68,3.56,0.51,4.59,0.1000000000000005,1.9181585677749304,0.9818721922594476,-4.005778759326125
196602,0.0315838365071992,0.0602647468648397,-1.21,4.71,0.33,-2.73,4.65,0.3699999999999992,2.557544757033248,0.6483172685679328,-3.4896212340210413
196603,0.0315838365071992,0.0602647468648397,-2.51,0.32,-1.98,-0.32,4.59,0.1200000000000001,2.778664963270528,1.3688374614069243,-3.9769856110358
196604,0.0315838365071992,0.0602647468648397,2.14,3.35,-0.46,-0.87,4.62,0.1699999999999999,2.8680688336520044,0.158934606385741,-3.1236998733403203
196605,0.0315838365071992,0.0602647468648397,-5.66,-5.1,-1.63,3.48,4.64,0.1600000000000001,2.763659466327839,0.9515045333616357,-3.7992467442644955
196606,0.0315838365071992,0.0602647468648397,-1.44,1.37,0.5,2.56,4.5,0.4699999999999997,2.4359379943056148,0.4712681290684584,-3.447033000584042
196607,0.0315838365071992,0.0602647468648397,-1.63,-0.41,0.95,1.25,4.8,0.25,2.754908169727699,0.5472823447646213,-2.8777638644562753
196608,0.0315838365071992,0.0602647468648397,-7.91,-3.12,0.43,0.3,4.96,0.4000000000000003,3.4865293185419866,0.0777989547753765,-3.2197173106201555
196609,0.0315838365071992,0.0602647468648397,-1.06,-1.14,0.56,1.04,5.37,-0.3500000000000005,3.5736875395319334,0.9325727100383708,-2.986463389761804
196610,0.0315838365071992,0.0602647468648397,3.86,-6.45,2.69,-1.53,5.35,-0.3799999999999999,3.791469194312813,0.6926092097841563,-3.5816998363719796
196611,0.0315838365071992,0.0602647468648397,1.4,3.34,-4.69,9.04,5.32,-0.2000000000000001,3.5590551181102548,-0.688129482083033,-3.6873274509213823
196612,0.0315838365071992,0.0602647468648397,0.13,2.02,-1.19,0.28,4.96,-0.3200000000000003,3.3594976452119285,0.2310612784818033,-3.6088493009839624
196701,0.0307543934847835,0.0594727818259751,8.15,9.1,2.27,3.53,4.72,-0.2000000000000001,3.19949811794229,0.4716266978989525,-3.888808676519534
196702,0.0307543934847835,0.0594727818259751,0.78,3.06,-2.22,1.3,4.56,0.1600000000000001,2.8678304239401653,-1.1341536921834594,-3.799315488049317
196703,0.0307543934847835,0.0594727818259751,3.99,1.87,0.37,1.83,4.26,0.2400000000000002,2.5481665630826544,-0.5636605728056687,-3.5427845022395053
196704,0.0307543934847835,0.0594727818259751,3.89,0.43,-2.48,0.56,3.84,0.9400000000000004,2.540272614622064,0.9431206563957684,-3.511952765161677
196705,0.0307543934847835,0.0594727818259751,-4.33,2.29,1.09,1.81,3.6,1.2099999999999995,2.3183925811437467,-0.8724228428664715,-3.4187909125277653
196706,0.0307543934847835,0.0594727818259751,2.41,6.43,0.85,-1.09,3.54,1.6799999999999995,2.841260037059889,-0.0124283563065263,-4.037125967325316
196707,0.0307543934847835,0.0594727818259751,4.58,3.54,2.73,0.21,4.21,0.9500000000000002,2.9275808936825687,-0.2277851650575257,-4.061533335174877
196708,0.0307543934847835,0.0594727818259751,-0.89,0.72,1.44,0.67,4.27,1.0,2.6033690658499253,1.9159674578156816,-3.9667316621934186
196709,0.0307543934847835,0.0594727818259751,3.11,2.44,-2.5,-0.64,4.42,0.8899999999999997,2.595419847328251,-0.1623242789930756,-3.706107046594659
196710,0.0307543934847835,0.0594727818259751,-3.09,0.53,-3.3,-2.38,4.56,1.08,2.587519025875196,0.8143647101032547,-3.543675994989015
196711,0.0307543934847835,0.0594727818259751,0.37,-0.04,-1.7,0.2,4.73,1.0099999999999998,3.10218978102188,1.430290294700809,-4.106881586094505
196712,0.0307543934847835,0.0594727818259751,3.05,5.75,-0.53,-0.04,4.97,0.7300000000000004,3.280680437424044,1.0768048385210394,-3.8174164052698956
196801,0.0345766725873297,0.0631142687981053,-4.06,4.51,4.8,3.96,5.0,0.54,3.647416413373872,-0.1074424562998332,-3.5218101907630595
196802,0.0345766725873297,0.0631142687981053,-3.75,-2.91,1.28,-0.87,4.98,0.5799999999999992,3.6363636363636376,0.3582509411326651,-3.287258080142534
196803,0.0345766725873297,0.0631142687981053,0.2,-1.59,-0.59,1.54,5.17,0.5899999999999999,3.939393939393932,0.312178821305098,-3.1709020873475895
196804,0.0345766725873297,0.0631142687981053,9.05,6.18,-1.13,-0.74,5.38,0.3600000000000003,3.92749244712991,0.1446456455633793,-3.9135824342544883
196805,0.0345766725873297,0.0631142687981053,2.28,7.0,0.85,-1.96,5.66,0.2000000000000001,4.229607250755274,1.121846601633658,-3.5836287708876586
196806,0.0345766725873297,0.0631142687981053,0.69,-0.28,0.73,3.74,5.52,0.1200000000000001,4.2042042042042205,0.3673655991062174,-3.593325990257697
196807,0.0345766725873297,0.0631142687981053,-2.72,-1.41,5.39,-1.33,5.31,0.08,4.491017964071853,-0.1533622448567029,-4.02924625319194
196808,0.0345766725873297,0.0631142687981053,1.34,2.27,1.01,0.71,5.09,0.33,4.477611940298498,0.2791214961344046,-4.111831257160795
196809,0.0345766725873297,0.0631142687981053,4.03,2.81,0.3,-0.15,5.19,0.2999999999999998,4.464285714285721,0.3787532101151569,-4.111159986614886
196810,0.0345766725873297,0.0631142687981053,0.42,-0.42,2.86,1.34,5.35,0.2600000000000007,4.7477744807121525,0.1984504772197803,-4.1217421378312435
196811,0.0345766725873297,0.0631142687981053,5.43,2.39,-0.92,3.29,5.45,0.33,4.424778761061954,1.2935291425451467,-4.002222994257755
196812,0.0345766725873297,0.0631142687981053,-3.94,3.52,-0.01,2.39,5.96,0.2000000000000001,4.705882352941182,0.3157516474573185,-3.7117206664047644
196901,0.0323021885521885,0.0606060606060606,-1.25,-0.44,1.67,2.52,6.14,0.0500000000000007,4.692082111436946,0.6050197941826374,-3.712974259881144
196902,0.0323021885521885,0.0606060606060606,-5.84,-4.16,0.91,2.39,6.12,0.1399999999999996,4.678362573099393,0.6398676280389815,-3.7604626719571526
196903,0.0323021885521885,0.0606060606060606,2.64,-0.45,-0.51,0.29,6.02,0.2800000000000002,5.247813411078739,0.7840831638041834,-3.7524207769438953
196904,0.0323021885521885,0.0606060606060606,1.46,-0.8,-0.03,-0.96,6.11,0.0899999999999998,5.523255813953476,-0.3678254674609915,-3.879482123721824
196905,0.0323021885521885,0.0606060606060606,-0.1,-0.11,0.7,1.44,6.04,0.5199999999999996,5.507246376811592,-0.3779920049120755,-3.5917575245279987
196906,0.0323021885521885,0.0606060606060606,-7.18,-5.45,-1.08,-0.11,6.44,0.29,5.475504322766556,0.9770419839387312,-3.0311591555708226
196907,0.0323021885521885,0.0606060606060606,-7.0,-3.41,1.2,-1.61,7.0,-0.3399999999999998,5.4441260744985565,0.5277051650205422,-3.4965289939312107
196908,0.0323021885521885,0.0606060606060606,4.68,0.7,-3.79,3.28,6.98,-0.1500000000000003,5.428571428571427,0.22980319418755,-3.5017412100954366
196909,0.0323021885521885,0.0606060606060606,-2.98,1.29,-3.27,0.63,7.09,0.4199999999999999,5.698005698005693,-0.0224931050964771,-3.597545033162559
196910,0.0323021885521885,0.0606060606060606,5.06,3.96,-3.16,-0.48,7.0,-0.0599999999999996,5.665722379603411,0.0294010119061161,-3.7921458228989864
196911,0.0323021885521885,0.0606060606060606,-3.79,-2.45,-1.19,1.04,7.24,0.0499999999999998,5.932203389830515,-0.942600534685556,-3.395741850815967
196912,0.0323021885521885,0.0606060606060606,-2.63,-3.76,-2.86,-2.86,7.82,0.0599999999999996,5.89887640449438,-0.2683386227004147,-3.398177976223774
197001,0.0309682477459819,0.0566444531556252,-8.1,3.12,3.13,-0.26,7.87,-0.1200000000000001,6.162464985994376,-1.8518614337826311,-3.4253509656919245
197002,0.0309682477459819,0.0566444531556252,5.13,-2.76,3.93,2.82,7.13,-0.2299999999999995,6.424581005586605,-0.065898379427054,-3.4724498428207
197003,0.0309682477459819,0.0566444531556252,-1.06,-2.41,3.99,0.63,6.63,0.4500000000000002,6.094182825484751,-0.129773529365218,-3.214309687357997
197004,0.0309682477459819,0.0566444531556252,-11.0,-6.4,6.18,-4.54,6.51,1.3100000000000005,6.060606060606077,-0.2572432189736684,-2.404755134563399
197005,0.0309682477459819,0.0566444531556252,-6.92,-4.48,3.33,-3.16,6.84,1.1100000000000003,6.043956043956045,-0.1165081449784888,-2.9644274349155784
197006,0.0309682477459819,0.0566444531556252,-5.79,-2.2,0.6,-0.1,6.68,1.0,6.010928961748618,-0.3234221241940949,-3.079122904477773
197007,0.0309682477459819,0.0566444531556252,6.93,-0.62,0.9,3.97,6.45,0.9299999999999996,5.706521739130444,0.2454813349078044,-3.149381515405345
197008,0.0309682477459819,0.0566444531556252,4.49,1.52,1.15,1.52,6.41,1.08,5.691056910569103,-0.1782876427030788,-3.4267766279876564
197009,0.0309682477459819,0.0566444531556252,4.18,8.51,-5.47,0.57,6.12,1.17,5.660377358490565,-0.6891749302984418,-3.433429199921047
197010,0.0309682477459819,0.0566444531556252,-2.28,-4.43,0.22,6.79,5.91,1.42,5.630026809651478,-2.0005138443586867,-3.4985897189565325
197011,0.0309682477459819,0.0566444531556252,4.6,-3.86,1.69,-0.52,5.28,1.21,5.600000000000005,-0.6057146914487221,-3.76643387685132
197012,0.0309682477459819,0.0566444531556252,5.72,2.94,1.0,2.37,4.87,1.63,5.570291777188308,2.296674643711838,-3.7610186922224433
197101,0.0347691285571918,0.0568043406045842,4.84,7.54,1.33,1.88,4.44,1.6499999999999997,5.277044854881274,0.7692307692307665,-3.847756900950195
197102,0.0347691285571918,0.0568043406045842,1.41,2.04,-1.23,1.76,3.7,2.4399999999999995,4.724409448818889,-0.190573158770102,-3.8077858690044835
197103,0.0347691285571918,0.0568043406045842,4.13,2.26,-3.95,0.1,3.38,2.1500000000000004,4.438642297650142,-0.1084201896552117,-4.027312136627791
197104,0.0347691285571918,0.0568043406045842,3.15,-0.36,0.69,0.92,3.86,2.22,4.155844155844157,0.5616700930057172,-3.7626435295425544
197105,0.0347691285571918,0.0568043406045842,-3.98,-1.11,-1.44,0.53,4.14,2.24,4.404145077720201,0.5074914133197161,-3.5400880716799077
197106,0.0347691285571918,0.0568043406045842,-0.1,-1.48,-1.87,-0.99,4.75,1.95,4.381443298969079,0.4192312066717329,-3.6868422208812337
197107,0.0347691285571918,0.0568043406045842,-4.5,-1.39,0.02,1.37,5.4,1.4499999999999993,4.370179948586128,-0.2902612351115996,-3.0050883943722573
197108,0.0347691285571918,0.0568043406045842,3.79,-0.16,2.63,5.57,4.94,1.34,4.358974358974366,-0.5803632751825494,-3.7767594345481066
197109,0.0347691285571918,0.0568043406045842,-0.85,0.28,-2.91,0.29,4.69,1.3099999999999996,4.081632653061207,1.6253098770057317,-3.6607246800480824
197110,0.0347691285571918,0.0568043406045842,-4.42,-1.6,-0.48,-1.25,4.46,1.41,3.8071065989847774,0.7485436994739691,-3.1419105547168757
197111,0.0347691285571918,0.0568043406045842,-0.46,-2.86,-1.68,-0.82,4.22,1.71,3.535353535353525,0.4243017187463449,-3.381077902335648
197112,0.0347691285571918,0.0568043406045842,8.71,3.27,-0.4,3.65,4.01,1.88,3.266331658291466,1.1543411185247487,-3.813641576733421
197201,0.0328377366563268,0.0609690876029521,2.49,6.1,2.24,-0.58,3.38,2.71,3.2581453634085378,2.396785211564434,-4.08258982635855
197202,0.0328377366563268,0.0609690876029521,2.87,0.87,-2.79,-0.1,3.2,2.84,3.759398496240607,1.0046828650052575,-3.7565256485969245
197203,0.0328377366563268,0.0609690876029521,0.63,-0.43,-1.61,1.46,3.73,2.39,3.499999999999992,0.7084105224157033,-3.9252977904438127
197204,0.0328377366563268,0.0609690876029521,0.29,0.23,0.12,0.13,3.71,2.43,3.4912718204488824,0.9911262195929638,-3.5851760193819335
197205,0.0328377366563268,0.0609690876029521,1.25,-3.1,-2.7,-0.93,3.69,2.36,3.2258064516129226,0.0080143967709389,-3.9573247908298677
197206,0.0328377366563268,0.0609690876029521,-2.43,-0.43,-2.48,-1.74,3.91,2.24,2.9629629629629672,0.2603256012744248,-3.713064241577255
197207,0.0328377366563268,0.0609690876029521,-0.8,-2.77,0.66,-2.32,3.98,2.14,2.9556650246305383,-0.0942198883893907,-3.7134747630156215
197208,0.0328377366563268,0.0609690876029521,3.26,-3.48,4.54,0.7,4.02,2.4000000000000004,2.9484029484029284,1.381417055579126,-3.822914846310158
197209,0.0328377366563268,0.0609690876029521,-1.14,-2.23,0.46,1.48,4.66,1.88,3.1862745098039325,0.7657117987053264,-3.530296845385623
197210,0.0328377366563268,0.0609690876029521,0.52,-2.54,1.34,-0.93,4.74,1.67,3.1784841075794823,1.2888757045387056,-3.812131794288977
197211,0.0328377366563268,0.0609690876029521,4.6,-0.62,4.85,3.28,4.78,1.5,3.4146341463414664,1.1789899860826791,-3.783568346679511
197212,0.0328377366563268,0.0609690876029521,0.62,-1.89,-2.19,3.89,5.07,1.34,3.406326034063256,1.1235694867056667,-3.785087461313191
197301,0.0304937076476282,0.0621490803484995,-3.29,-2.81,2.68,-1.37,5.41,1.13,3.640776699029136,0.7291213446609879,-3.336502811506629
197302,0.0304937076476282,0.0621490803484995,-4.85,-3.91,1.6,-2.2,5.6,1.04,3.864734299516903,1.4551894406125363,-3.232316049250329
197303,0.0304937076476282,0.0621490803484995,-1.3,-2.33,2.62,0.43,6.09,0.6400000000000006,4.830917874396135,0.0367486415326911,-3.245332375943891
197304,0.0304937076476282,0.0621490803484995,-5.68,-2.9,5.41,-0.68,6.26,0.4400000000000004,5.301204819277117,-0.1478365465382825,-2.891815548475525
197305,0.0304937076476282,0.0621490803484995,-2.94,-6.17,0.41,-1.11,6.36,0.5699999999999994,5.528846153846145,0.6610899122659442,-3.0677587392194066
197306,0.0304937076476282,0.0621490803484995,-1.57,-2.48,1.2,0.11,7.19,-0.25,5.995203836930463,0.1210092573196153,-3.1414390333799322
197307,0.0304937076476282,0.0621490803484995,5.05,7.26,-5.31,9.47,8.01,-0.5800000000000001,5.741626794258381,0.3677084330323321,-3.4080966014157776
197308,0.0304937076476282,0.0621490803484995,-3.82,-1.84,1.24,1.71,8.67,-1.42,7.398568019093088,-0.1366092951980424,-3.487717207991925
197309,0.0304937076476282,0.0621490803484995,4.75,3.6,2.01,1.65,8.29,-1.3899999999999988,7.3634204275534465,0.8010126469836898,-3.3057771604554986
197310,0.0304937076476282,0.0621490803484995,-0.83,-0.38,1.94,1.82,7.22,-0.5099999999999998,8.056872037914697,0.7997144821022539,-2.71652512699389
197311,0.0304937076476282,0.0621490803484995,-12.75,-7.28,3.87,-4.67,7.83,-1.1399999999999997,8.25471698113207,0.4511061279620199,-2.614551559166146
197312,0.0304937076476282,0.0621490803484995,0.61,-4.69,3.85,0.39,7.45,-0.5499999999999998,8.94117647058823,-0.2795872986862679,-2.840598144322211
197401,0.0285424759331194,0.0689072791758148,-0.17,10.41,6.02,9.23,7.77,-0.7699999999999996,9.601873536299754,-0.6597995727884998,-3.1387725089016216
197402,0.0285424759331194,0.0689072791758148,-0.47,0.06,2.81,0.73,7.12,-0.1100000000000003,9.999999999999986,-0.2888224609430723,-3.19043976135075
197403,0.0285424759331194,0.0689072791758148,-2.81,2.65,-0.32,4.12,7.96,-0.5499999999999998,10.138248847926269,-0.0165204787854977,-3.1800549498723445
197404,0.0285424759331194,0.0689072791758148,-5.29,-0.7,0.85,-1.39,8.33,-0.6699999999999999,10.068649885583516,-0.3033661080353522,-3.08320684251257
197405,0.0285424759331194,0.0689072791758148,-4.68,-3.07,-2.02,-2.72,8.23,-0.7100000000000009,10.70615034168565,0.8076812587010762,-3.0373758681216136
197406,0.0285424759331194,0.0689072791758148,-2.83,0.0,0.77,-0.95,7.9,-0.2600000000000007,10.859728506787311,-0.1821629382816048,-2.6574751974268227
197407,0.0285424759331194,0.0689072791758148,-8.05,1.92,5.16,0.85,7.55,0.3399999999999998,11.53846153846152,0.18491108017058,-2.670504971800423
197408,0.0285424759331194,0.0689072791758148,-9.35,0.26,2.64,2.04,8.96,-0.8500000000000014,10.888888888888882,-1.0488912660347682,-2.4260658978426277
197409,0.0285424759331194,0.0689072791758148,-11.77,1.48,5.58,3.26,8.06,-0.1200000000000001,11.94690265486724,0.0141777670459974,-2.2983555457450704
197410,0.0285424759331194,0.0689072791758148,16.1,-6.82,-9.87,8.72,7.46,0.33,11.842105263157896,-0.3127526441109696,-2.8255283570673617
197411,0.0285424759331194,0.0689072791758148,-4.51,-1.48,-0.2,-0.3,7.47,0.1699999999999999,12.200435729847502,-3.2975383446317674,-2.7844821089769347
197412,0.0285424759331194,0.0689072791758148,-3.45,-4.35,0.11,-0.38,7.15,0.25,12.095032397408213,-3.595866017802407,-2.758583027577265
197501,0.0374570804286754,0.0924981791697013,13.66,12.91,8.28,14.57,6.26,1.2700000000000005,11.752136752136757,-1.383791101408094,-3.064438107243706
197502,0.0374570804286754,0.0924981791697013,5.56,-0.65,-4.44,4.55,5.5,1.96,11.205073995771686,-2.28365791292664,-3.0434946018102185
197503,0.0374570804286754,0.0924981791697013,2.66,4.0,2.38,3.5,5.49,2.52,10.460251046025103,-1.08776034646082,-3.034436813668034
197504,0.0374570804286754,0.0924981791697013,4.23,-0.71,-1.14,-0.46,5.61,2.7,10.187110187110182,0.1852875207229543,-3.1579956225025
197505,0.0374570804286754,0.0924981791697013,5.19,2.89,-4.1,3.76,5.23,2.8099999999999987,9.259259259259256,-0.2842809364548504,-3.3025839433138358
197506,0.0374570804286754,0.0924981791697013,4.83,1.43,1.38,3.29,5.34,2.62,9.183673469387754,0.6327577273785412,-3.344549353934244
197507,0.0374570804286754,0.0924981791697013,-6.59,3.44,1.69,1.21,6.13,2.0699999999999994,9.533468559837743,1.029227780693387,-3.0281326417780994
197508,0.0374570804286754,0.0924981791697013,-2.85,-2.84,-0.95,0.64,6.44,1.7800000000000002,8.617234468937895,0.9889533638447467,-3.036420182749557
197509,0.0374570804286754,0.0924981791697013,-4.26,0.05,0.39,-0.31,6.42,2.0600000000000005,7.905138339920947,1.297403243264328,-3.070079489649091
197510,0.0374570804286754,0.0924981791697013,5.31,-4.23,0.28,1.56,5.96,1.95,7.647058823529407,0.4276507366566706,-3.5575819135703015
197511,0.0374570804286754,0.0924981791697013,2.64,-1.09,2.03,-2.52,5.48,2.66,7.37864077669903,0.1387481038957361,-3.3109873048218197
197512,0.0374570804286754,0.0924981791697013,-1.6,-0.05,1.69,3.26,5.44,2.3199999999999994,7.129094412331405,1.350859812100058,-3.112762838338273
197601,0.0507166482910694,0.109702315325248,12.16,6.34,8.63,2.84,4.87,2.93,6.692160611854692,1.3345075992793998,-3.3556376319198113
197602,0.0507166482910694,0.109702315325248,0.32,7.99,5.87,-2.48,4.88,2.89,6.273764258555126,0.9995829246072008,-3.3342774101378185
197603,0.0507166482910694,0.109702315325248,2.32,-1.38,-0.12,4.43,5.0,2.66,6.060606060606055,0.213856123505951,-3.4503226545119343
197604,0.0507166482910694,0.109702315325248,-1.49,0.08,-0.16,2.13,4.86,2.81,5.849056603773595,0.4986233759058489,-3.4866958305071716
197605,0.0507166482910694,0.109702315325248,-1.34,-1.1,-1.36,-0.77,5.2,2.76,6.214689265536721,0.4255981968196876,-3.4682930376427445
197606,0.0507166482910694,0.109702315325248,4.05,-1.07,0.71,0.63,5.41,2.45,5.981308411214958,0.1076593221112309,-3.813467062532008
197607,0.0507166482910694,0.109702315325248,-1.07,0.63,1.73,1.68,5.23,2.63,5.555555555555558,0.5550340402650233,-3.601382577329613
197608,0.0507166482910694,0.109702315325248,-0.56,-1.98,0.81,-2.04,5.14,2.5200000000000005,5.719557195571956,0.6899630207011453,-3.5134407142844895
197609,0.0507166482910694,0.109702315325248,2.07,0.1,-0.29,-0.32,5.08,2.47,5.494505494505497,0.3319283574834575,-3.334370707139249
197610,0.0507166482910694,0.109702315325248,-2.42,0.13,-0.18,1.14,4.92,2.5,5.464480874316946,-0.0316251278462575,-3.398139272102439
197611,0.0507166482910694,0.109702315325248,0.36,2.66,1.51,0.54,4.75,2.26,5.063291139240511,1.5337430195172974,-3.7295047292042938
197612,0.0507166482910694,0.109702315325248,5.65,3.64,2.27,3.64,4.35,2.46,5.035971223021574,1.0781295921050482,-3.63534868797479
197701,0.0418129258723931,0.1023126161470163,-4.05,5.9,4.27,0.54,4.62,2.78,5.197132616487465,-0.6840510513267839,-4.001175678971982
197702,0.0418129258723931,0.1023126161470163,-1.94,1.07,0.47,1.38,4.67,2.78,6.082289803220031,1.5773960857860423,-3.657309398329147
197703,0.0418129258723931,0.1023126161470163,-1.37,1.31,1.09,1.03,4.6,2.8200000000000003,6.428571428571428,1.26880177870623,-3.461510437123776
197704,0.0418129258723931,0.1023126161470163,0.15,0.61,3.38,-1.22,4.54,2.91,6.951871657754016,0.9770732312749164,-3.6810978154254133
197705,0.0418129258723931,0.1023126161470163,-1.45,1.31,0.85,-0.32,4.96,2.42,6.737588652482285,0.7713825548868236,-3.73993422022703
197706,0.0418129258723931,0.1023126161470163,4.71,2.08,-0.74,0.09,5.02,2.1800000000000006,6.701940035273357,0.7644263122476458,-3.7137202168506867
197707,0.0418129258723931,0.1023126161470163,-1.69,1.88,-0.56,1.03,5.19,2.2299999999999995,6.666666666666665,0.1289770533543288,-3.7241368395447427
197708,0.0418129258723931,0.1023126161470163,-1.75,0.86,-2.7,-0.71,5.49,1.79,6.631762652705064,0.102756928797576,-3.838678943953919
197709,0.0418129258723931,0.1023126161470163,-0.27,1.43,-0.52,0.83,5.81,1.6000000000000003,6.423611111111094,0.3983209304843527,-3.6147462457674737
197710,0.0418129258723931,0.1023126161470163,-4.38,1.48,1.75,1.76,6.16,1.46,6.390328151986191,0.15989912459895,-3.2901093140750675
197711,0.0418129258723931,0.1023126161470163,4.0,3.64,0.26,2.22,6.1,1.4500000000000002,6.712564543889843,0.1807640542499156,-3.687580333850103
197712,0.0418129258723931,0.1023126161470163,0.27,1.59,-0.29,-0.13,6.07,1.71,6.67808219178081,0.1769242057529263,-3.5021067152536074
197801,0.0449860321741643,0.1049031885174838,-6.01,2.72,3.36,1.07,6.44,1.5,6.814310051107331,-1.459729016524347,-3.654195729953123
197802,0.0449860321741643,0.1049031885174838,-1.38,3.7,0.83,1.17,6.45,1.589999999999999,6.239460370994943,0.5584124086063014,-3.6905997720282437
197803,0.0449860321741643,0.1049031885174838,2.85,3.71,1.18,-0.27,6.29,1.8600000000000003,6.375838926174482,1.9130865698741009,-3.176596647530371
197804,0.0449860321741643,0.1049031885174838,7.88,-0.26,-3.54,0.22,6.29,1.95,6.499999999999995,1.9897478644789413,-3.4130645226295875
197805,0.0449860321741643,0.1049031885174838,1.76,4.58,-0.52,0.08,6.41,2.01,7.14285714285714,0.4815724421972867,-3.4403554413249107
197806,0.0449860321741643,0.1049031885174838,-1.69,1.56,0.57,1.35,6.73,1.8899999999999988,7.438016528925617,0.6427406589287754,-3.5351784740403094
197807,0.0449860321741643,0.1049031885174838,5.11,0.12,-1.15,0.91,7.01,1.5500000000000007,7.7302631578947345,-0.0717078755848588,-3.451951663186128
197808,0.0449860321741643,0.1049031885174838,3.75,4.95,-0.51,0.87,7.08,1.3100000000000005,7.855973813420625,0.4097418249865203,-3.4805904746558416
197809,0.0449860321741643,0.1049031885174838,-1.43,-0.32,1.89,3.65,7.85,0.7100000000000009,8.482871125611746,0.2355235908562347,-3.0829031719290256
